Image,Point,Latitude,Longitude,Object Type,Coordinates,Probability,Bounding Box Center,Normalized Bounding Box Center
/content/tif_images/image_722.tif,37,36.201149389,36.147872426,collapsed,"[0.8280181884765625, 118.46734619140625, 83.67938232421875, 199.17901611328125]",0.2952461838722229,"[42.253700256347656, 158.82318115234375]","[0.06602140665054321, 0.2481612205505371]"
/content/tif_images/image_693.tif,23,36.202636719,36.144246576,collapsed,"[220.928466796875, 181.28857421875, 309.39276123046875, 262.34564208984375]",0.6378647685050964,"[265.1606140136719, 221.81710815429688]","[0.4143134593963623, 0.3465892314910889]"
/content/tif_images/image_511.tif,23,36.21509804,36.158383032,collapsed,"[56.86822509765625, 274.3512268066406, 125.35231018066406, 327.7508239746094]",0.404596596956253,"[91.11026763916016, 301.051025390625]","[0.14235979318618774, 0.47039222717285156]"
/content/tif_images/image_564.tif,7,36.2110363,36.156428374,collapsed,"[71.98710632324219, 441.361083984375, 160.85028076171875, 530.223876953125]",0.6545445919036865,"[116.41869354248047, 485.79248046875]","[0.18190420866012574, 0.7590507507324219]"
/content/tif_images/image_564.tif,8,36.21167187,36.156589274,collapsed,"[119.4676742553711, 206.45794677734375, 205.55972290039062, 288.5429382324219]",0.5927059650421143,"[162.51369857788086, 247.5004425048828]","[0.2539276540279388, 0.3867194414138794]"
/content/tif_images/image_564.tif,11,36.210726468,36.156582355,collapsed,"[115.49765014648438, 564.6307373046875, 205.56533813476562, 639.2833251953125]",0.3755100965499878,"[160.531494140625, 601.95703125]","[0.25083045959472655, 0.940557861328125]"
/content/tif_images/image_562.tif,9,36.210654764,36.153481221,collapsed,"[467.13287353515625, 553.16357421875, 563.7545776367188, 627.283203125]",0.5468553304672241,"[515.4437255859375, 590.223388671875]","[0.8053808212280273, 0.9222240447998047]"
/content/tif_images/image_562.tif,13,36.210603695,36.152973272,collapsed,"[332.508056640625, 578.7403564453125, 407.343505859375, 640.0]",0.4928643703460693,"[369.92578125, 609.3701782226562]","[0.578009033203125, 0.9521409034729004]"
/content/tif_images/image_384.tif,0,36.221814307,36.118690887,collapsed,"[573.63232421875, 4.1055908203125, 639.869140625, 96.8945541381836]",0.467983603477478,"[606.750732421875, 50.50007247924805]","[0.9480480194091797, 0.07890636324882508]"
/content/tif_images/image_617.tif,5,36.208327417,36.155819654,collapsed,"[487.5260009765625, 113.72758483886719, 567.1011962890625, 212.8961944580078]",0.7081730961799622,"[527.3135986328125, 163.3118896484375]","[0.8239274978637695, 0.2551748275756836]"
/content/tif_images/image_617.tif,8,36.207127047,36.156061293,collapsed,"[554.77197265625, 586.724853515625, 638.3055419921875, 640.0]",0.634497344493866,"[596.5387573242188, 613.3624267578125]","[0.9320918083190918, 0.958378791809082]"
/content/tif_images/image_617.tif,9,36.208350576,36.155143067,collapsed,"[290.39434814453125, 115.64093017578125, 376.57342529296875, 193.61700439453125]",0.603478729724884,"[333.48388671875, 154.62896728515625]","[0.5210685729980469, 0.24160776138305665]"
/content/tif_images/image_617.tif,11,36.208089745,36.15520534,collapsed,"[311.60089111328125, 219.9615478515625, 391.047119140625, 284.8814697265625]",0.4906927347183227,"[351.3240051269531, 252.4215087890625]","[0.5489437580108643, 0.3944086074829102]"
/content/tif_images/image_617.tif,15,36.207243737,36.155292244,collapsed,"[325.572509765625, 535.8073120117188, 426.867919921875, 603.4176635742188]",0.3846599757671356,"[376.22021484375, 569.6124877929688]","[0.5878440856933593, 0.8900195121765136]"
/content/tif_images/image_619.tif,15,36.207346563,36.159670739,collapsed,"[345.9580383300781, 523.2392578125, 428.3121643066406, 616.1162109375]",0.6406474709510803,"[387.1351013183594, 569.677734375]","[0.6048985958099365, 0.8901214599609375]"
/content/tif_images/image_121.tif,13,36.238302053,36.132462219,collapsed,"[325.9930419921875, 559.5680541992188, 441.5595703125, 639.3607788085938]",0.5800735354423523,"[383.77630615234375, 599.4644165039062]","[0.5996504783630371, 0.9366631507873535]"
/content/tif_images/image_638.tif,21,36.205306909,36.142689427,collapsed,"[442.139404296875, 478.4228515625, 512.6620483398438, 561.69189453125]",0.6283751130104065,"[477.4007263183594, 520.057373046875]","[0.7459386348724365, 0.8125896453857422]"
/content/tif_images/image_22.tif,1,36.247176255,36.151783438,collapsed,"[339.0560302734375, 24.006011962890625, 450.384765625, 145.26962280273438]",0.3299263715744018,"[394.72039794921875, 84.6378173828125]","[0.6167506217956543, 0.13224658966064454]"
