                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6023,                0.78665,                 1.5112,                0.66996,                0.65281,                0.68855,                0.27968,                  2.117,                 1.1376,                 2.2342,              0.0005324,              0.0005324,              0.0005324
                     46,                 1.5842,                0.77926,                 1.5157,                0.65836,                 0.6167,                0.66202,                0.27524,                 2.0542,                 1.2383,                 2.1745,             0.00050661,             0.00050661,             0.00050661
                     47,                 1.5831,                0.78333,                 1.4951,                0.65506,                0.63232,                0.66066,                0.26703,                  2.078,                 1.1514,                 2.1984,             0.00048083,             0.00048083,             0.00048083
                     48,                 1.5545,                0.75583,                 1.4909,                0.62489,                 0.5956,                0.62367,                0.25022,                  2.109,                 1.0893,                 2.2401,             0.00045504,             0.00045504,             0.00045504
                     49,                 1.5605,                0.75263,                 1.5144,                0.69251,                0.59331,                0.66071,                0.27183,                 2.0948,                 1.1865,                 2.2271,             0.00042925,             0.00042925,             0.00042925
                     50,                 1.5711,                0.76672,                 1.5097,                0.66117,                0.56552,                0.66209,                0.27412,                 2.0827,                 1.1646,                 2.2317,             0.00040347,             0.00040347,             0.00040347
                     51,                 1.5664,                0.77224,                 1.5003,                0.79619,                0.53924,                0.64987,                0.26865,                 2.0848,                 1.1752,                 2.2186,             0.00037768,             0.00037768,             0.00037768
                     52,                 1.5728,                0.76864,                 1.5257,                0.66892,                0.57997,                0.68595,                 0.2791,                 2.1263,                 1.1563,                 2.2754,             0.00035189,             0.00035189,             0.00035189
                     53,                 1.5458,                0.75346,                 1.4637,                0.68251,                0.54321,                0.62854,                0.24688,                 2.1305,                 1.3801,                 2.2609,             0.00032611,             0.00032611,             0.00032611
                     54,                 1.5614,                0.76625,                 1.5794,                0.66579,                0.59418,                0.66063,                0.26146,                 2.1017,                 1.2628,                  2.225,             0.00030032,             0.00030032,             0.00030032
                     55,                  1.543,                0.74014,                 1.6047,                0.78398,                0.57781,                0.69825,                0.29149,                  2.069,                 1.0867,                    2.2,             0.00027453,             0.00027453,             0.00027453
                     56,                 1.5208,                0.71822,                 1.5948,                0.67529,                0.60182,                 0.6722,                0.28228,                 2.0832,                    1.1,                 2.2229,             0.00024875,             0.00024875,             0.00024875
                     57,                 1.4954,                0.69757,                 1.5501,                0.71603,                0.59127,                0.68419,                0.29341,                 2.0706,                 1.1294,                 2.2157,             0.00022296,             0.00022296,             0.00022296
                     58,                 1.4979,                0.69068,                 1.5683,                0.69247,                 0.6223,                0.69096,                0.29317,                 2.0636,                 1.1466,                  2.215,             0.00019717,             0.00019717,             0.00019717
                     59,                 1.4968,                0.69745,                 1.5732,                0.59229,                0.68668,                0.67589,                0.28846,                 2.0848,                 1.0952,                 2.2225,             0.00017139,             0.00017139,             0.00017139
                     60,                  1.487,                0.67952,                 1.5541,                0.61924,                0.68429,                0.70185,                0.29464,                 2.0685,                 1.0825,                 2.2115,              0.0001456,              0.0001456,              0.0001456
                     61,                 1.4787,                0.67953,                 1.5663,                0.70131,                0.65691,                0.71509,                0.28451,                 2.1064,                 1.1341,                 2.2509,             0.00011982,             0.00011982,             0.00011982
                     62,                 1.4699,                0.67798,                 1.5797,                0.67328,                0.67014,                 0.7076,                0.29297,                 2.0888,                 1.1504,                 2.2307,             9.4029e-05,             9.4029e-05,             9.4029e-05
                     63,                 1.4729,                0.67103,                  1.582,                 0.7029,                0.63783,                 0.7173,                 0.3031,                 2.0755,                 1.1231,                 2.2212,             6.8243e-05,             6.8243e-05,             6.8243e-05
